,movie_title,total
262,the smurfs,Raja GosnellTim GunnAdventure Animation Comedy Family FantasyMahadeo ShivrajMadison McKinley
263,home on the range,Will FinnRoseanne BarrAnimation Comedy Family Music WesternSteve BuscemiG.W. Bailey
264,allegiant,Robert SchwentkeTheo JamesAction Adventure Mystery Sci-Fi ThrillerNaomi WattsZoë Kravitz
265,real steel,Shawn LevyTorey Michael AdkinsAction Drama Sci-Fi SportHugh JackmanOlga Fonda
266,the smurfs 2,Raja GosnellNancy O'DellAdventure Animation Comedy Family FantasyJacob TremblayVanessa Matsui
267,speed 2: cruise control,Jan de BontTemuera MorrisonAction Crime Romance ThrillerJason PatricLois Chiles
268,ender's game,Gavin HoodMoises AriasAction Sci-FiHarrison FordAramis Knight
269,live free or die hard,Len WisemanJonathan SadowskiAction Adventure ThrillerBruce WillisCyril Raffaelli
270,the lord of the rings: the fellowship of the ring,Peter JacksonOrlando BloomAction Adventure Drama FantasyChristopher LeeBilly Boyd
271,around the world in 80 days,Frank CoraciSteve CooganAction Adventure ComedyJim BroadbentCécile De France
272,ali,Michael MannJada Pinkett SmithBiography Drama SportWill SmithJoe Morton
273,the cat in the hat,Bo WelchKelly PrestonAdventure Comedy Family FantasySean HayesSpencer Breslin
274,"i, robot",Alex ProyasBruce GreenwoodAction Mystery Sci-Fi ThrillerWill SmithChi McBride
275,kingdom of heaven,Ridley ScottOrlando BloomAction Adventure Drama History WarLiam NeesonPhilip Glenister
276,stuart little,Rob MinkoffNathan LaneAdventure Comedy Family FantasyChazz PalminteriJeffrey Jones
277,the princess and the frog,Ron ClementsJenifer LewisAnimation Family Fantasy Musical RomanceOprah WinfreyAnika Noni Rose
278,the martian,Ridley ScottDonald GloverAdventure Drama Sci-FiMatt DamonBenedict Wong
279,"10,000 b.c.            ",Christopher BarnardunknownComedyMathew Buckunknown
280,the island,Michael BaySteve BuscemiAction Adventure Romance Sci-Fi ThrillerScarlett JohanssonDjimon Hounsou
281,town & country,Peter ChelsomWarren BeattyComedy RomanceDel ZamoraGarry Shandling
282,gone in sixty seconds,Dominic SenaAngelina Jolie PittAction Crime ThrillerNicolas CageRobert Duvall
283,gladiator,Ridley ScottConnie NielsenAction Drama RomanceDjimon HounsouOliver Reed
284,minority report,Steven SpielbergFrank GrilloAction Mystery Sci-Fi ThrillerTom CruiseJessica Capshaw
285,harry potter and the chamber of secrets,Chris ColumbusRupert GrintAdventure Family Fantasy MysteryDaniel RadcliffeEmma Watson
286,casino royale,Martin CampbellTobias MenziesAction Adventure ThrillerEva GreenIvana Milicevic
287,planet of the apes,Tim BurtonEstella WarrenAction Adventure Sci-Fi ThrillerCary-Hiroyuki TagawaErick Avari
288,terminator 2: judgment day,James CameronJenette GoldsteinAction Sci-FiJoe MortonS. Epatha Merkerson
289,public enemies,Michael MannChristian BaleBiography Crime Drama History RomanceJohnny DeppStephen Graham
290,american gangster,Ridley ScottRuby DeeBiography Crime DramaDenzel WashingtonRZA
291,true lies,James CameronTia CarrereAction Comedy ThrillerJamie Lee CurtisTom Arnold
292,the taking of pelham 1 2 3,Tony ScottRamon RodriguezAction Crime ThrillerDenzel WashingtonMichael Rispoli
293,little fockers,Paul WeitzBlythe DannerComedy RomanceRobert De NiroTeri Polo
294,the other guys,Adam McKayWill FerrellAction Comedy CrimeDwayne JohnsonDerek Jeter
295,eraser,Chuck RussellJames CoburnAction Drama Mystery ThrillerVanessa WilliamsRoma Maffia
296,django unchained,Quentin TarantinoChristoph WaltzDrama WesternLeonardo DiCaprioAto Essandoh
297,the hunchback of notre dame,Gary TrousdaleJason AlexanderAnimation Drama Family Musical RomanceDemi MooreBill Fagerbakke
298,the emperor's new groove,Mark DindalWendie MalickAdventure Animation Comedy Family FantasyEartha KittJohn Fiedler
299,the expendables 2,Simon WestSylvester StalloneAction Adventure ThrillerJason StathamBruce Willis
300,national treasure,Jon TurteltaubArmando RiescoAction Adventure Comedy Family MysteryNicolas CageAnnie Parisse
301,eragon,Stefen FangmeierEd SpeleersAction Adventure Family FantasyDjimon HounsouGary Lewis
302,where the wild things are,Spike JonzeRyan CorrAdventure Drama Family FantasyCatherine O'HaraMax Records
303,pan,Joe WrightCara DelevingneAdventure Family FantasyHugh JackmanNonso Anozie
304,epic,Chris WedgeEmma KenneyAdventure Animation Family FantasyJosh HutchersonTroy Evans
305,the tourist,Florian Henckel von DonnersmarckAngelina Jolie PittAction Romance ThrillerJohnny DeppRufus Sewell
306,end of days,Peter HyamsMark MargolisAction Fantasy Horror MysteryCCH PounderUdo Kier
307,blood diamond,Edward ZwickDjimon HounsouAdventure Drama ThrillerLeonardo DiCaprioStephen Collins
308,the wolf of wall street,Martin ScorseseMatthew McConaugheyBiography Comedy Crime DramaLeonardo DiCaprioJon Favreau
309,batman forever,Joel SchumacherRene AuberjonoisAction Adventure FantasyMichael GoughDebi Mazar
310,starship troopers,Paul VerhoevenPatrick MuldoonAction Sci-Fi WarJake BuseySeth Gilliam
311,cloud atlas,Tom TykwerJim SturgessDrama Sci-FiTom HanksJim Broadbent
312,legend of the guardians: the owls of ga'hoole,Zack SnyderRichard RoxburghAction Adventure Animation Family FantasyAbbie CornishAnthony LaPaglia
313,catwoman,PitofChristopher HeyerdahlAction Crime Fantasy Romance ThrillerFrances ConroyAlex Borstein
314,hercules,Brett RatnerRufus SewellAction AdventureDwayne JohnsonIngrid Bolsø Berdal
315,treasure planet,Ron ClementsMartin ShortAdventure Animation Family Sci-FiJoseph Gordon-LevittMichael Wincott
316,land of the lost,Brad SilberlingAnna FrielAdventure Comedy Sci-FiWill FerrellBobb'e J. Thompson
317,the expendables 3,Patrick HughesSylvester StalloneAction Adventure ThrillerJason StathamHarrison Ford
318,point break,Ericson CoreEdgar RamírezAction Crime Sport ThrillerRay WinstoneDelroy Lindo
319,son of the mask,Lawrence GutermanTraylor HowardComedy Family FantasyJamie KennedyBen Stein
320,in the heart of the sea,Ron HowardBenjamin WalkerAction Adventure Biography Drama History ThrillerChris HemsworthFrank Dillane
321,the adventures of pluto nash,Ron UnderwoodRandy QuaidAction Comedy Sci-FiRosario DawsonBurt Young
322,green zone,Paul GreengrassSean HuzeAction Drama Thriller WarMatt DamonIgal Naor
323,the peanuts movie,Steve MartinoVenus SchultheisAdventure Animation Comedy FamilyFrancesca CapaldiBill Melendez
324,the spanish prisoner,David MametFelicity HuffmanDrama Mystery ThrillerBen GazzaraCampbell Scott
325,the mummy returns,Stephen SommersBrendan FraserAction Adventure Fantasy ThrillerDwayne JohnsonPatricia Velasquez
326,gangs of new york,Martin ScorseseLiam NeesonCrime DramaLeonardo DiCaprioJim Broadbent
327,the flowers of war,Yimou ZhangNi NiDrama History Romance WarChristian BaleShigeo Kobayashi
328,surf's up,Ash BrannonZooey DeschanelAnimation Comedy Family SportJeff BridgesJon Heder
329,the stepford wives,Frank OzMatthew BroderickComedy Sci-Fi ThrillerJon LovitzRoger Bart
330,black hawk down,Ridley ScottSam ShepardDrama History WarIoan GruffuddEwen Bremner
331,the campaign,Jay RoachThomas MiddleditchComedyWill FerrellKatherine LaNasa
332,the fifth element,Luc BessonBruce WillisAction Adventure Sci-FiMilla JovovichGary Oldman
333,sex and the city 2,Michael Patrick KingLiza MinnelliComedy Drama RomanceChris NothKristin Davis
334,the road to el dorado,Bibo BergeronRosie PerezAdventure Animation Comedy Family RomanceFrank WelkerElton John
335,ice age: continental drift,Steve MartinoJosh GadAdventure Animation Comedy FamilyPeter DinklageDrake
336,cinderella,Kenneth BranaghDerek JacobiDrama Family Fantasy RomanceHayley AtwellLily James
337,the lovely bones,Peter JacksonAJ MichalkaDrama Fantasy ThrillerMichael ImperioliTom McCarthy
338,finding nemo,Andrew StantonStephen RootAdventure Animation Comedy FamilyAlexander GouldBrad Garrett
339,the lord of the rings: the return of the king,Peter JacksonBilly BoydAction Adventure Drama FantasyOrlando BloomBernard Hill
340,the lord of the rings: the two towers,Peter JacksonOrlando BloomAction Adventure Drama FantasyChristopher LeeBilly Boyd
341,seventh son,Sergey BodrovDjimon HounsouAction Adventure FantasyJeff BridgesOlivia Williams
342,lara croft: tomb raider,Simon WestNoah TaylorAction Adventure Fantasy ThrillerAngelina Jolie PittChris Barrie
343,transcendence,Wally PfisterMorgan FreemanDrama Mystery Romance Sci-Fi ThrillerJohnny DeppClifton Collins Jr.
344,jurassic park iii,Joe JohnstonTrevor MorganAction Adventure Sci-Fi ThrillerMichael JeterAlessandro Nivola
345,rise of the planet of the apes,Rupert WyattDavid OyelowoAction Drama Sci-Fi ThrillerJames FrancoTyler Labine
346,the spiderwick chronicles,Mark WatersTod FennellAdventure Family FantasyMartin ShortJoan Plowright
347,a good day to die hard,John MooreCole HauserAction ThrillerBruce WillisMegalyn Echikunwoke
348,the alamo,John Lee HancockMarc BlucasDrama History War WesternDennis QuaidJordi Mollà
349,the incredibles,Brad BirdCraig T. NelsonAction Adventure Animation FamilyHolly HunterLou Romano
350,cutthroat island,Renny HarlinFrank LangellaAction Adventure ComedyChristopher MastersonMatthew Modine
351,percy jackson & the olympians: the lightning thief,Chris ColumbusRosario DawsonAdventure Family FantasyLogan LermanSteve Coogan
352,men in black,Barry SonnenfeldRip TornAdventure Comedy Family Mystery Sci-FiWill SmithLinda Fiorentino
353,toy story 2,John LasseterJohn RatzenbergerAdventure Animation Comedy Family FantasyTom HanksWayne Knight
354,unstoppable,Tony ScottRosario DawsonAction ThrillerDenzel WashingtonEthan Suplee
355,rush hour 2,Brett RatnerJohn LoneAction Comedy Crime ThrillerMei MelançonHarris Yulin
356,what lies beneath,Robert ZemeckisAmber VallettaDrama Fantasy Horror Mystery ThrillerHarrison FordMiranda Otto
357,cloudy with a chance of meatballs,Phil LordBobb'e J. ThompsonAnimation Comedy Family Sci-FiWill ForteAl Roker
358,ice age: dawn of the dinosaurs,Carlos SaldanhaMaile FlanaganAction Adventure Animation Comedy FamilyDenis LearyKelly Keaton
359,the secret life of walter mitty,Ben StillerAdrian MartinezAdventure Comedy Drama Fantasy RomanceAdam ScottJoey Slotnick
360,charlie's angels,McGLL Cool JAction Adventure Comedy Crime ThrillerBill MurrayKelly Lynch
361,the departed,Martin ScorseseMatt DamonCrime Drama ThrillerLeonardo DiCaprioRay Winstone
362,mulan,Tony BancroftHarvey FiersteinAdventure Animation Family Fantasy Musical WarMing-Na WenJune Foray
363,tropic thunder,Ben StillerSteve CooganAction ComedyRobert Downey Jr.Brandon T. Jackson
364,the girl with the dragon tattoo,David FincherGoran VisnjicCrime Drama Mystery ThrillerRobin WrightJoely Richardson
365,die hard with a vengeance,John McTiernanAldis HodgeAction Adventure ThrillerBruce WillisKevin Chamberlin
366,sherlock holmes,Guy RitchieEddie MarsanAction Adventure Crime Mystery ThrillerRobert Downey Jr.Robert Maillet
367,ben-hur,Timur BekmambetovAyelet ZurerAdventure Drama HistoryMorgan FreemanMoises Arias
368,atlantis: the lost empire,Gary TrousdaleJim VarneyAction Adventure Animation Family Fantasy Sci-FiLeonard NimoyCree Summer
369,alvin and the chipmunks: the road chip,Walt BeckerJoshua MikelAdventure Animation Comedy Family Fantasy MusicBella ThorneJesse McCartney
370,valkyrie,Bryan SingerTom WilkinsonDrama History Thriller WarTom CruiseThomas Kretschmann
371,you don't mess with the zohan,Dennis DuganSayed BadreyaAction ComedyAdam SandlerKevin Nealon
372,pixels,Chris ColumbusAdam SandlerAction Animation Comedy Sci-FiPeter DinklageJosh Gad
373,a.i. artificial intelligence,Steven SpielbergWilliam HurtAdventure Drama Sci-FiHaley Joel OsmentKevin Sussman
374,the haunted mansion,Rob MinkoffRachael HarrisComedy Family Fantasy Horror MysteryMarsha ThomasonMarc John Jefferies
375,contact,Robert ZemeckisTom SkerrittDrama Mystery Sci-Fi ThrillerMatthew McConaugheyLarry King
376,hollow man,Paul VerhoevenKim DickensAction Horror Sci-Fi ThrillerGreg GrunbergJoey Slotnick
377,the interpreter,Sydney PollackGeorge HarrisCrime Mystery ThrillerCurtiss CookMichael Wright
378,percy jackson: sea of monsters,Thor FreudenthalLeven RambinAdventure Family FantasyLogan LermanBrandon T. Jackson
379,lara croft tomb raider: the cradle of life,Jan de BontAngelina Jolie PittAction Adventure FantasyGerard ButlerDjimon Hounsou
380,now you see me 2,Jon M. ChuMorgan FreemanAction Adventure Comedy Crime Mystery ThrillerDaniel RadcliffeSanaa Lathan
381,the saint,Phillip NoyceMichael ByrneAction Adventure Romance Sci-Fi ThrillerAlun ArmstrongVelibor Topic
382,spy game,Tony ScottStephen DillaneAction Crime ThrillerBrad PittCatherine McCormack
383,mission to mars,Brian De PalmaConnie NielsenAdventure Sci-Fi ThrillerDon CheadleKim Delaney
384,rio,Carlos SaldanhaWanda SykesAdventure Animation Comedy Family MusicalAnne HathawayWill.i.am
385,bicentennial man,Chris ColumbusOliver PlattComedy Drama Sci-FiRobin WilliamsJohn Michael Higgins
386,volcano,Mick JacksonAnne HecheAction Drama Sci-Fi ThrillerDon CheadleGaby Hoffmann
387,the devil's own,Alan J. PakulaBrad PittAction Crime Drama ThrillerHarrison FordNatascha McElhone
388,k-19: the widowmaker,Kathryn BigelowChristian CamargoDrama History Thriller WarLiam NeesonLex Shrapnel
389,fantastic four,Josh TrankReg E. CatheyAction Adventure Sci-FiTim Blake NelsonTim Heidecker
390,conan the barbarian,John MiliusMakoAdventure FantasyWilliam SmithSandahl Bergman
391,cinderella man,Ron HowardBruce McGillBiography Drama SportPaddy ConsidineRosemarie DeWitt
392,the nutcracker in 3d,Andrey KonchalovskiyNathan LaneAction Family Fantasy MusicalShirley HendersonRichard E. Grant
393,seabiscuit,Gary RossMichael AngaranoDrama History SportJeff BridgesMichael O'Neill
394,twister,Jan de BontAlan RuckAction Adventure Drama ThrillerPhilip Seymour HoffmanJami Gertz
395,the fast and the furious,Rob CohenVin DieselAction Crime ThrillerPaul WalkerJordana Brewster
396,cast away,Robert ZemeckisPaul SanchezAdventure Drama RomanceTom HanksNick Searcy
397,happy feet,George MillerHugh JackmanAnimation Comedy Family Music RomanceRobin WilliamsElizabeth Daily
398,the bourne supremacy,Paul GreengrassJoan AllenAction Mystery ThrillerMatt DamonOksana Akinshina
399,air force one,Wolfgang PetersenGary OldmanAction Adventure Drama ThrillerHarrison FordDean Stockwell
400,ocean's eleven,Steven SoderberghBernie MacCrime ThrillerBrad PittElliott Gould
401,the three musketeers,Paul W.S. AndersonLogan LermanAction Adventure RomanceMilla JovovichOrlando Bloom
402,hotel transylvania,Genndy TartakovskyAdam SandlerAnimation Comedy Family FantasySteve BuscemiJon Lovitz
403,enchanted,Kevin LimaTeala DunnAnimation Comedy Family Fantasy Musical RomanceJeff BennettFred Tatasciore
404,hannibal            ,unknownScott ThompsonCrime Drama Horror Mystery ThrillerCaroline DhavernasHettienne Park
405,safe house,Daniel EspinosaRyan ReynoldsAction Crime Mystery ThrillerDenzel WashingtonSam Shepard
406,102 dalmatians,Kevin LimaEric IdleAdventure Comedy FamilyIoan GruffuddJim Carter
407,tower heist,Brett RatnerGabourey SidibeAction Comedy CrimeMatthew BroderickJudd Hirsch
408,the holiday,Nancy MeyersRufus SewellComedy RomanceKate WinsletSarah Parish
409,enemy of the state,Tony ScottJake BuseyAction Crime Drama Mystery ThrillerWill SmithLisa Bonet
410,it's complicated,Nancy MeyersHunter ParrishComedy Drama RomanceMeryl StreepZoe Kazan
411,ocean's thirteen,Steven SoderberghMatt DamonCrime ThrillerAl PacinoBrad Pitt
412,open season,Roger AllersDebra MessingAdventure Animation Comedy FamilyJon FavreauJane Krakowski
413,divergent,Neil BurgerTheo JamesAdventure Mystery Sci-FiKate WinsletMekhi Phifer
414,enemy at the gates,Jean-Jacques AnnaudGabriel ThomsonDrama History WarBob HoskinsClemens Schick
415,the rundown,Peter BergRosario DawsonAction Adventure Comedy ThrillerDwayne JohnsonEwen Bremner
416,last action hero,John McTiernanTom NoonanAction Adventure Comedy FantasyF. Murray AbrahamJoan Plowright
417,memoirs of a geisha,Rob MarshallMakoDrama RomanceLi GongKarl Yune
418,the fast and the furious: tokyo drift,Justin LinZachery Ty BryanAction Crime ThrillerAmber Stevens WestNikki Griffin
419,arthur christmas,Sarah SmithImelda StauntonAdventure Animation Comedy Family FantasyJim BroadbentMichael Palin
420,meet joe black,Martin BrestBrad PittDrama Fantasy RomanceAnthony HopkinsJake Weber
421,collateral damage,Andrew DavisRick WorthyAction Drama ThrillerRaymond CruzJsu Garcia
422,all that jazz,Bob FosseBen VereenComedy Drama Music MusicalRoy ScheiderMax Wright
423,mirror mirror,Tarsem SinghNathan LaneAdventure Comedy Drama Family FantasyJulia RobertsDanny Woodburn
424,scott pilgrim vs. the world,Edgar WrightKieran CulkinAction Comedy Fantasy RomanceAnna KendrickEllen Wong
425,the core,Jon AmielTchéky KaryoAction Adventure Sci-Fi ThrillerGlenn MorshowerRekha Sharma
426,nutty professor ii: the klumps,Peter SegalJanet JacksonComedy Romance Sci-FiLarry MillerChris Elliott
427,scooby-doo,Raja GosnellLinda CardelliniAdventure Comedy MysterySarah Michelle GellarMiguel A. Núñez Jr.
428,dredd,Pete TravisJason CopeAction Sci-FiWood HarrisRakie Ayola
429,click,Frank CoraciCameron MonaghanComedy Drama Fantasy RomanceAdam SandlerJulie Kavner
430,creepshow,George A. RomeroHal HolbrookComedy Fantasy HorrorTed DansonAdrienne Barbeau
431,cats & dogs: the revenge of kitty galore,Brad PeytonSean HayesAction Comedy Family FantasyJack McBrayerKatt Williams
432,jumper,Doug LimanHayden ChristensenAction Adventure Sci-Fi ThrillerKristen StewartTom Hulce
433,hellboy ii: the golden army,Guillermo del ToroIván KamarásAction Adventure Fantasy Horror Sci-FiSeth MacFarlaneBrian Steele
434,zodiac,David FincherJake GyllenhaalCrime Drama History Mystery ThrillerRobert Downey Jr.Anthony Edwards
